,ID,KM3,GM3,MntTotal,MntSpentNorm,Income,Len_Customer,HasChildren,HasPartner,NumChildren,age,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpTot,Response,Complain,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumTotalPurchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,KM2,AC3,AC2,GM2,LogIncome,MntWinesNorm,MntFruitsNorm,MntMeatProductsNorm,MntFishProductsNorm,MntSweetProductsNorm,MntGoldProdsNorm,NumDealsPurchasesNorm,NumWebPurchasesNorm,NumStorePurchasesNorm,NumWebVisitsMonthNorm,NumCatalogPurchasesNorm,SpendPropOfTotal,AvgPerPurchase,NumTotalPurchasesNorm
11,5642,1,2,222,0.7424749163879598,62499.0,299.0,1,1,1,35,0,0,0,0,0,0,0,0,1979,Master,Together,1,0,2013-12-09,0,140,4,61,0,13,4,16,2,3,1,6,4,0,0,1,0,1,1,11.042921835724492,0.4682274247491639,0.013377926421404682,0.2040133779264214,0.0,0.043478260869565216,0.013377926421404682,0.006688963210702341,0.010033444816053512,0.020066889632107024,0.013377926421404682,0.0033444816053511705,0.009456311836106433,13.875,0.05351170568561873
12,10530,2,0,1156,3.840531561461794,67786.0,301.0,0,0,0,55,0,0,0,0,0,0,1,0,1959,PhD,Widow,0,0,2013-12-07,0,431,82,441,80,20,102,17,1,3,6,6,1,1,0,0,1,0,0,11.124125715130964,1.4318936877076411,0.2724252491694352,1.4651162790697674,0.26578073089701,0.0664451827242525,0.3388704318936877,0.0033222591362126247,0.009966777408637873,0.019933554817275746,0.0033222591362126247,0.019933554817275746,0.04509873901577889,68.0,0.05647840531561462
13,2964,1,1,72,0.2039660056657223,26872.0,353.0,0,1,0,33,0,0,0,0,0,0,0,0,1981,Bachelor,Married,0,0,2013-10-16,0,3,10,8,3,16,32,11,1,1,1,2,6,0,0,1,0,1,1,10.198877344056111,0.0084985835694051,0.028328611898016998,0.0226628895184136,0.0084985835694051,0.0453257790368272,0.0906515580736544,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0169971671388102,0.0028328611898017,0.006041862924602375,6.545454545454546,0.031161473087818695
14,10311,1,2,359,0.9862637362637364,4428.0,364.0,1,1,1,45,0,0,0,0,0,0,0,0,1969,Bachelor,Married,0,1,2013-10-05,0,16,4,12,2,4,321,26,0,25,0,0,1,0,0,1,1,0,1,8.395929103923198,0.04395604395604396,0.01098901098901099,0.03296703296703297,0.005494505494505495,0.01098901098901099,0.8818681318681318,0.0,0.06868131868131869,0.0,0.0027472527472527475,0.0,0.17729582973485414,13.807692307692308,0.07142857142857142
15,837,0,2,174,0.4484536082474227,54809.0,388.0,1,1,2,37,0,0,0,0,0,0,0,0,1977,Bachelor,Married,1,1,2013-09-11,0,63,6,57,13,13,22,16,4,2,1,5,4,0,0,1,0,1,1,10.911627938040162,0.16237113402061856,0.015463917525773196,0.14690721649484537,0.03350515463917526,0.03350515463917526,0.05670103092783505,0.010309278350515464,0.005154639175257732,0.01288659793814433,0.010309278350515464,0.002577319587628866,0.006512964516136921,10.875,0.041237113402061855
16,10521,0,2,174,0.4484536082474227,54809.0,388.0,1,1,2,37,0,0,0,0,0,0,1,0,1977,Bachelor,Married,1,1,2013-09-11,0,63,6,57,13,13,22,16,4,2,1,5,4,1,0,1,0,1,1,10.911627938040162,0.16237113402061856,0.015463917525773196,0.14690721649484537,0.03350515463917526,0.03350515463917526,0.05670103092783505,0.010309278350515464,0.005154639175257732,0.01288659793814433,0.010309278350515464,0.002577319587628866,0.006512964516136921,10.875,0.041237113402061855
17,10175,1,1,22,0.0512820512820512,32173.0,429.0,1,0,1,56,0,0,0,0,0,0,0,0,1958,PhD,Divorced,0,1,2013-08-01,0,18,0,2,0,0,2,9,1,1,0,3,4,0,0,1,0,1,1,10.378913951950253,0.04195804195804196,0.0,0.004662004662004662,0.0,0.0,0.004662004662004662,0.002331002331002331,0.002331002331002331,0.006993006993006993,0.009324009324009324,0.0,0.0012687816747121133,2.4444444444444446,0.02097902097902098
18,1473,1,1,72,0.1643835616438356,47823.0,438.0,1,0,1,54,0,0,0,0,0,0,0,0,1960,Master,Single,0,1,2013-07-23,0,53,1,5,2,1,10,15,2,2,0,3,8,0,0,1,0,1,1,10.77528288452372,0.12100456621004566,0.00228310502283105,0.01141552511415525,0.0045662100456621,0.00228310502283105,0.0228310502283105,0.0045662100456621,0.0045662100456621,0.00684931506849315,0.0182648401826484,0.0,0.002736116828063759,4.8,0.03424657534246575
19,2795,1,1,13,0.0282608695652173,30523.0,460.0,1,0,3,56,0,0,0,0,0,0,0,0,1958,Master,Single,2,1,2013-07-01,0,5,0,3,0,0,5,11,1,1,0,2,7,0,0,1,0,1,1,10.326268538409524,0.010869565217391304,0.0,0.006521739130434782,0.0,0.0,0.010869565217391304,0.002173913043478261,0.002173913043478261,0.004347826086956522,0.015217391304347827,0.0,0.0007370065908958176,1.1818181818181819,0.02391304347826087
20,2285,0,2,335,0.6781376518218624,36634.0,494.0,1,1,1,60,0,0,0,0,0,0,0,0,1954,Master,Together,0,1,2013-05-28,0,213,9,76,4,3,30,22,3,5,2,5,7,0,0,1,0,1,0,10.508759346594063,0.4311740890688259,0.018218623481781375,0.15384615384615385,0.008097165991902834,0.006072874493927126,0.06072874493927125,0.006072874493927126,0.010121457489878543,0.010121457489878543,0.01417004048582996,0.004048582995951417,0.014734879370262665,15.227272727272727,0.044534412955465584
21,115,0,2,393,0.7055655296229802,43456.0,557.0,1,0,1,48,0,0,0,0,0,0,0,0,1966,Master,Single,0,1,2013-03-26,0,275,11,68,25,7,7,22,3,5,1,8,5,0,0,0,0,1,0,10.679527222435633,0.49371633752244165,0.019748653500897665,0.12208258527827648,0.04488330341113106,0.012567324955116697,0.012567324955116697,0.005385996409335727,0.008976660682226212,0.01436265709156194,0.008976660682226212,0.0017953321364452424,0.012924110861098405,17.863636363636363,0.03949730700179533
22,10470,1,1,92,0.1619718309859155,40662.0,568.0,1,1,1,35,0,0,0,0,0,0,0,0,1979,Master,Married,1,0,2013-03-15,0,40,2,23,0,4,23,12,2,2,1,3,4,0,0,1,0,1,1,10.613073867047843,0.07042253521126761,0.0035211267605633804,0.040492957746478875,0.0,0.007042253521126761,0.040492957746478875,0.0035211267605633804,0.0035211267605633804,0.00528169014084507,0.007042253521126761,0.0017605633802816902,0.0031707633039395194,7.666666666666667,0.02112676056338028
23,4065,0,2,404,0.674457429048414,49544.0,599.0,1,1,1,38,0,0,0,0,0,0,0,0,1976,PhD,Married,1,0,2013-02-12,0,308,0,73,0,0,23,23,2,5,1,8,7,0,0,1,0,1,1,10.810636626493,0.5141903171953256,0.0,0.12186978297161936,0.0,0.0,0.038397328881469114,0.00333889816360601,0.008347245409015025,0.01335559265442404,0.011686143572621035,0.001669449081803005,0.01083618830781805,17.565217391304348,0.038397328881469114
24,10968,0,2,704,1.035294117647059,57731.0,680.0,1,0,1,45,0,0,0,0,0,0,0,0,1969,Bachelor,Single,0,1,2012-11-23,0,266,21,300,65,8,44,32,4,8,8,6,6,0,0,0,2,0,0,10.963566891487456,0.3911764705882353,0.030882352941176472,0.4411764705882353,0.09558823529411764,0.011764705882352941,0.06470588235294118,0.0058823529411764705,0.011764705882352941,0.008823529411764706,0.008823529411764706,0.011764705882352941,0.014274724457346294,22.0,0.047058823529411764
25,5985,1,1,122,0.1692094313453536,33168.0,721.0,1,0,1,49,0,0,0,0,0,0,0,0,1965,Master,Single,0,1,2012-10-13,0,80,1,37,0,1,3,17,3,2,1,4,7,0,0,1,0,1,1,10.4093709837628,0.11095700416088766,0.0013869625520110957,0.05131761442441054,0.0,0.0013869625520110957,0.004160887656033287,0.004160887656033287,0.0027739251040221915,0.005547850208044383,0.009708737864077669,0.0013869625520110957,0.004060863101510538,7.176470588235294,0.023578363384188627
26,5430,0,2,684,0.912,54450.0,750.0,1,1,2,58,0,0,0,0,0,0,0,0,1956,Bachelor,Together,1,1,2012-09-14,0,454,0,171,8,19,32,39,12,9,2,8,8,0,0,0,2,0,0,10.905056493665374,0.6053333333333333,0.0,0.228,0.010666666666666666,0.025333333333333333,0.042666666666666665,0.016,0.012,0.010666666666666666,0.010666666666666666,0.0026666666666666666,0.01333245179063361,17.53846153846154,0.052
27,8432,0,2,684,0.912,54450.0,750.0,1,1,2,58,0,0,0,0,0,0,0,0,1956,Bachelor,Together,1,1,2012-09-14,0,454,0,171,8,19,32,39,12,9,2,8,8,0,0,0,2,0,0,10.905056493665374,0.6053333333333333,0.0,0.228,0.010666666666666666,0.025333333333333333,0.042666666666666665,0.016,0.012,0.010666666666666666,0.010666666666666666,0.0026666666666666666,0.01333245179063361,17.53846153846154,0.052
28,453,1,1,45,0.4639175257731959,35340.0,97.0,1,0,2,58,0,0,0,0,0,0,0,0,1956,PhD,Widow,1,1,2014-06-29,1,27,0,12,0,1,5,12,2,2,0,3,5,0,0,1,0,1,1,10.472799042021167,0.27835051546391754,0.0,0.12371134020618557,0.0,0.010309278350515464,0.05154639175257732,0.020618556701030927,0.020618556701030927,0.030927835051546393,0.05154639175257732,0.0,0.010449302504682059,3.75,0.12371134020618557
29,9687,2,0,726,5.761904761904762,73170.0,126.0,0,0,0,39,0,0,0,0,0,0,0,0,1975,Bachelor,Single,0,0,2014-05-31,1,184,174,256,50,30,32,18,1,5,4,6,2,0,0,0,1,0,0,11.20055444658802,1.4603174603174602,1.380952380952381,2.0317460317460316,0.3968253968253968,0.23809523809523808,0.25396825396825395,0.007936507936507936,0.03968253968253968,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.06268246809452221,40.333333333333336,0.14285714285714285
30,8890,0,2,272,2.141732283464567,65808.0,127.0,1,0,2,43,0,0,0,0,0,0,0,0,1971,PhD,Divorced,1,1,2014-05-30,1,155,7,80,13,7,10,20,3,5,1,5,6,0,0,0,0,1,0,11.094511886075637,1.220472440944882,0.05511811023622047,0.6299212598425197,0.10236220472440945,0.05511811023622047,0.07874015748031496,0.023622047244094488,0.03937007874015748,0.03937007874015748,0.047244094488188976,0.007874015748031496,0.025905952127975255,13.6,0.15748031496062992
31,9264,2,0,1638,10.2375,79529.0,160.0,0,1,0,28,0,0,0,0,0,0,0,0,1986,Bachelor,Married,0,0,2014-04-27,1,423,42,706,73,197,197,24,1,4,8,9,2,0,0,0,1,0,0,11.28388958795118,2.64375,0.2625,4.4125,0.45625,1.23125,1.23125,0.00625,0.025,0.05625,0.0125,0.05,0.10246639590589597,68.25,0.15
32,5824,1,1,8,0.0454545454545454,34578.0,176.0,1,1,3,42,0,0,0,0,0,0,0,0,1972,PhD,Together,2,1,2014-04-11,1,7,0,1,0,0,0,10,1,1,0,2,6,0,0,1,0,1,1,10.451001840369164,0.03977272727272727,0.0,0.005681818181818182,0.0,0.0,0.0,0.005681818181818182,0.005681818181818182,0.011363636363636364,0.03409090909090909,0.0,0.0010463826184804843,0.8,0.056818181818181816
33,5794,0,2,446,2.218905472636816,46374.0,201.0,1,1,1,40,1,0,0,1,0,2,1,0,1974,PhD,Married,0,1,2014-03-17,1,408,0,21,0,0,17,26,3,7,1,7,8,1,0,1,0,1,0,10.744515799909736,2.029850746268657,0.0,0.1044776119402985,0.0,0.0,0.0845771144278607,0.014925373134328358,0.03482587064676617,0.03482587064676617,0.03980099502487562,0.004975124378109453,0.03808704783324504,17.153846153846153,0.12935323383084577
34,3068,1,1,43,0.1264705882352941,18351.0,340.0,0,1,0,24,0,0,0,0,0,0,0,0,1990,Bachelor,Married,0,0,2013-10-29,1,1,12,9,0,14,7,13,1,2,0,3,7,0,0,1,0,1,1,9.817493839369153,0.0029411764705882353,0.03529411764705882,0.026470588235294117,0.0,0.041176470588235294,0.020588235294117647,0.0029411764705882353,0.0058823529411764705,0.008823529411764706,0.020588235294117647,0.0,0.0054858366429782635,3.3076923076923075,0.03823529411764706
35,7962,2,0,1901,5.280555555555556,95169.0,360.0,0,0,0,27,1,0,0,0,1,2,1,0,1987,PhD,Single,0,0,2013-10-09,1,1285,21,449,106,20,20,13,1,4,3,4,1,1,0,0,1,0,0,11.463420045066387,3.5694444444444446,0.058333333333333334,1.2472222222222222,0.29444444444444445,0.05555555555555555,0.05555555555555555,0.002777777777777778,0.011111111111111112,0.011111111111111112,0.002777777777777778,0.008333333333333333,0.04416692643846444,146.23076923076923,0.03611111111111111
36,2681,2,0,461,1.0745920745920745,65370.0,429.0,0,1,0,30,0,0,0,0,0,0,0,0,1984,Master,Married,0,0,2013-08-01,1,71,22,112,138,89,29,20,1,2,3,13,1,0,0,0,1,0,0,11.087834014026866,0.1655011655011655,0.05128205128205128,0.26107226107226106,0.32167832167832167,0.20745920745920746,0.0675990675990676,0.002331002331002331,0.004662004662004662,0.030303030303030304,0.002331002331002331,0.006993006993006993,0.013085135251266502,23.05,0.046620046620046623
37,10141,1,1,20,0.0390625,39228.0,512.0,0,0,0,54,0,0,0,0,0,0,0,0,1960,Master,Divorced,0,0,2013-05-10,1,7,1,6,0,3,3,8,1,0,0,3,4,0,0,1,0,1,1,10.57717154818281,0.013671875,0.001953125,0.01171875,0.0,0.005859375,0.005859375,0.001953125,0.0,0.005859375,0.0078125,0.0,0.0007926417354950545,2.5,0.015625
38,3725,2,0,1688,3.290448343079922,84865.0,513.0,0,0,0,53,1,1,0,1,1,4,1,0,1961,PhD,Single,0,0,2013-05-09,1,1248,16,349,43,16,16,20,1,2,4,9,4,1,0,0,1,0,0,11.348828820946936,2.4327485380116958,0.031189083820662766,0.6803118908382066,0.08382066276803118,0.031189083820662766,0.031189083820662766,0.001949317738791423,0.003898635477582846,0.017543859649122806,0.007797270955165692,0.007797270955165692,0.030863098816845787,84.4,0.03898635477582846
39,3767,2,2,1008,1.9127134724857684,61314.0,527.0,1,1,1,46,0,0,0,0,0,0,0,0,1968,Bachelor,Married,0,1,2013-04-25,1,378,0,189,97,172,172,27,2,5,5,12,3,0,0,0,1,0,0,11.023779790196128,0.7172675521821632,0.0,0.3586337760910816,0.1840607210626186,0.32637571157495254,0.32637571157495254,0.003795066413662239,0.009487666034155597,0.022770398481973434,0.0056925996204933585,0.009487666034155597,0.024831521742157935,37.333333333333336,0.051233396584440226
40,5585,1,1,48,0.0902255639097744,21359.0,532.0,1,0,1,42,0,0,0,0,0,0,1,0,1972,Bachelor,Single,1,0,2013-04-20,1,12,2,17,6,1,10,15,2,2,0,3,8,1,0,1,0,1,1,9.969275293074132,0.022556390977443608,0.0037593984962406013,0.03195488721804511,0.011278195488721804,0.0018796992481203006,0.018796992481203006,0.0037593984962406013,0.0037593984962406013,0.005639097744360902,0.015037593984962405,0.0,0.0033624958505632497,3.2,0.02819548872180451
41,7030,0,2,1485,2.6853526220614827,66465.0,553.0,1,1,1,59,1,0,0,0,0,1,0,0,1955,PhD,Married,0,1,2013-03-30,1,1200,0,204,38,29,14,41,3,11,9,12,6,0,0,0,2,0,0,11.104445817701192,2.1699819168173597,0.0,0.3688969258589512,0.06871609403254973,0.05244122965641953,0.02531645569620253,0.0054249547920434,0.019891500904159132,0.0216998191681736,0.0108499095840868,0.0162748643761302,0.03216039550381314,36.21951219512195,0.07414104882459313
42,1524,2,0,1104,1.8969072164948453,81698.0,582.0,0,0,0,31,1,0,0,0,0,1,1,0,1983,Master,Single,0,0,2013-03-01,1,709,45,115,30,160,45,21,1,8,2,5,5,1,0,0,1,0,0,11.310797040871105,1.2182130584192439,0.07731958762886598,0.19759450171821305,0.05154639175257732,0.27491408934707906,0.07731958762886598,0.001718213058419244,0.013745704467353952,0.00859106529209622,0.00859106529209622,0.003436426116838488,0.01848194746909223,52.57142857142857,0.03608247422680412
43,3657,1,1,165,0.2763819095477386,39146.0,597.0,1,0,1,28,0,0,0,0,0,0,0,0,1986,Bachelor,Single,1,0,2013-02-14,1,94,1,33,13,12,12,19,3,4,0,4,8,0,0,1,0,1,1,10.575079070130355,0.1574539363484087,0.0016750418760469012,0.05527638190954774,0.021775544388609715,0.020100502512562814,0.020100502512562814,0.005025125628140704,0.006700167504187605,0.006700167504187605,0.01340033500837521,0.0,0.005619986716395034,8.68421052631579,0.031825795644891124
44,5740,1,1,56,0.0938023450586264,25959.0,597.0,1,0,2,44,0,0,0,0,0,0,1,0,1970,Master,Divorced,1,1,2013-02-14,1,4,2,12,7,5,26,13,2,1,2,2,6,1,0,1,0,1,1,10.164312170818029,0.006700167504187605,0.0033500837520938024,0.020100502512562814,0.011725293132328308,0.008375209380234505,0.04355108877721943,0.0033500837520938024,0.0016750418760469012,0.0033500837520938024,0.010050251256281407,0.0033500837520938024,0.0028763306239326116,4.3076923076923075,0.021775544388609715
45,9595,2,0,1574,2.4944532488114106,64260.0,631.0,0,1,0,53,0,0,0,0,0,0,1,0,1961,Bachelor,Together,0,0,2013-01-11,1,539,169,816,20,0,30,17,1,4,5,4,3,1,0,0,1,0,0,11.070708194329034,0.8541996830427893,0.26782884310618066,1.2931854199683044,0.03169572107765452,0.0,0.04754358161648178,0.001584786053882726,0.006339144215530904,0.006339144215530904,0.004754358161648178,0.00792393026941363,0.03089923414338442,92.58823529411765,0.02694136291600634
46,3158,1,1,39,0.0610328638497652,32300.0,639.0,1,1,1,41,0,0,0,0,0,0,0,0,1973,Bachelor,Married,1,0,2013-01-03,1,13,3,6,6,5,6,13,1,1,0,3,8,0,0,1,0,1,1,10.382853468483829,0.02034428794992175,0.004694835680751174,0.009389671361502348,0.009389671361502348,0.00782472613458529,0.009389671361502348,0.001564945226917058,0.001564945226917058,0.004694835680751174,0.012519561815336464,0.0,0.001504091629238797,3.0,0.02034428794992175
47,5114,0,2,965,1.4755351681957187,74806.0,654.0,1,1,1,49,0,0,0,0,0,0,0,0,1965,Master,Married,0,1,2012-12-19,1,670,9,249,0,28,9,20,2,5,4,5,4,0,0,0,0,1,0,11.222666742471665,1.0244648318042813,0.013761467889908258,0.38073394495412843,0.0,0.04281345565749235,0.013761467889908258,0.0030581039755351682,0.00764525993883792,0.00764525993883792,0.0061162079510703364,0.0061162079510703364,0.01570095973429661,48.25,0.03058103975535168
48,340,0,2,497,0.7553191489361702,72967.0,658.0,1,0,1,44,0,0,1,0,0,1,1,0,1970,Bachelor,Divorced,0,1,2012-12-15,1,158,35,179,0,0,125,24,2,7,2,8,5,1,0,0,2,0,0,11.197776267859997,0.24012158054711247,0.05319148936170213,0.27203647416413373,0.0,0.0,0.1899696048632219,0.00303951367781155,0.010638297872340425,0.0121580547112462,0.007598784194528876,0.00303951367781155,0.008239807619241458,20.708333333333332,0.0364741641337386
49,8805,0,2,371,0.5529061102831595,48904.0,671.0,1,0,1,54,0,0,0,0,0,0,0,0,1960,Bachelor,Single,0,1,2012-12-02,1,283,10,38,0,13,27,25,4,7,2,4,8,0,0,1,0,1,0,10.797634919724594,0.4217585692995529,0.014903129657228018,0.05663189269746647,0.0,0.019374068554396422,0.040238450074515646,0.005961251862891207,0.010432190760059613,0.005961251862891207,0.011922503725782414,0.0029806259314456036,0.008999535084765968,14.84,0.037257824143070044
50,1241,1,1,51,0.0682730923694779,14796.0,747.0,1,1,1,30,0,0,0,0,0,0,1,0,1984,Master,Married,1,0,2012-09-17,1,13,3,8,7,4,16,15,2,1,0,3,9,1,0,1,0,1,1,9.602179736502537,0.01740294511378849,0.004016064257028112,0.0107095046854083,0.009370816599732263,0.00535475234270415,0.0214190093708166,0.002677376171352075,0.0013386880856760374,0.004016064257028112,0.012048192771084338,0.0,0.0036729779349894847,3.4,0.020080321285140562
51,1402,2,0,1253,1.6640106241699868,66991.0,753.0,0,1,0,60,0,0,0,0,0,0,0,0,1954,Master,Married,0,0,2012-09-11,1,496,36,460,189,60,12,24,3,4,8,6,3,0,0,0,1,0,0,11.112328488258925,0.6586985391766268,0.04780876494023904,0.6108897742363878,0.250996015936255,0.0796812749003984,0.01593625498007968,0.00398406374501992,0.005312084993359893,0.00796812749003984,0.00398406374501992,0.010624169986719787,0.019772095607459354,52.208333333333336,0.03187250996015936
52,7264,1,1,17,0.1172413793103448,52195.0,145.0,1,0,3,36,0,0,0,0,0,0,0,0,1978,Master,Single,2,1,2014-05-12,2,12,0,4,0,0,1,12,1,1,0,2,8,0,0,1,0,1,1,10.862761142582135,0.08275862068965517,0.0,0.027586206896551724,0.0,0.0,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.05517241379310345,0.0,0.001787989997720749,1.4166666666666667,0.08275862068965517
53,1619,2,0,1588,9.9874213836478,90369.0,159.0,0,1,0,58,0,0,0,0,0,0,1,0,1956,Bachelor,Married,0,0,2014-04-28,2,292,51,981,224,23,17,18,1,4,6,6,1,1,0,0,1,0,0,11.411667632896002,1.8364779874213837,0.32075471698113206,6.169811320754717,1.4088050314465408,0.14465408805031446,0.1069182389937107,0.006289308176100629,0.025157232704402517,0.03773584905660377,0.006289308176100629,0.03773584905660377,0.08797250629511943,88.22222222222223,0.11320754716981132
54,6398,1,1,50,0.2645502645502645,18393.0,189.0,1,1,1,40,0,0,0,0,0,0,0,0,1974,Basic,Married,1,0,2014-03-29,2,7,10,13,16,0,4,16,2,3,0,3,8,0,0,1,0,1,1,9.819779803462644,0.037037037037037035,0.05291005291005291,0.06878306878306878,0.08465608465608465,0.0,0.021164021164021163,0.010582010582010581,0.015873015873015872,0.015873015873015872,0.042328042328042326,0.0,0.011449030097428944,3.125,0.08465608465608465
