,ID,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Income,LogIncome,NumChildren,HasChildren,HasPartner,age,MntTotal,AcceptedCmpTot,NumTotalPurchases,Len_Customer,MntSpentNorm,KM2,KM3,AC3,AC2,GM2,GM3
30,8890,1971,PhD,Divorced,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,65808.0,11.094511886075637,2,1,0,43,272,0,20,127.0,2.141732283464567,0,0,0,1,0,2
31,9264,1986,Bachelor,Married,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,79529.0,11.28388958795118,0,0,1,28,1638,0,24,160.0,10.2375,0,2,1,0,0,0
32,5824,1972,PhD,Together,2,1,2014-04-11,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,34578.0,10.451001840369164,3,1,1,42,8,0,10,176.0,0.0454545454545454,1,1,0,1,1,1
33,5794,1974,PhD,Married,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,46374.0,10.744515799909736,1,1,1,40,446,2,26,201.0,2.218905472636816,1,0,0,1,0,2
34,3068,1990,Bachelor,Married,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,18351.0,9.817493839369153,0,0,1,24,43,0,13,340.0,0.1264705882352941,1,1,0,1,1,1
35,7962,1987,PhD,Single,0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,95169.0,11.463420045066387,0,0,0,27,1901,2,13,360.0,5.280555555555556,0,2,1,0,0,0
36,2681,1984,Master,Married,0,0,2013-08-01,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,65370.0,11.087834014026866,0,0,1,30,461,0,20,429.0,1.0745920745920745,0,2,1,0,0,0
37,10141,1960,Master,Divorced,0,0,2013-05-10,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,39228.0,10.57717154818281,0,0,0,54,20,0,8,512.0,0.0390625,1,1,0,1,1,1
38,3725,1961,PhD,Single,0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,84865.0,11.348828820946936,0,0,0,53,1688,4,20,513.0,3.290448343079922,0,2,1,0,0,0
39,3767,1968,Bachelor,Married,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,61314.0,11.023779790196128,1,1,1,46,1008,0,27,527.0,1.9127134724857684,0,2,1,0,0,2
40,5585,1972,Bachelor,Single,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,21359.0,9.969275293074132,1,1,0,42,48,0,15,532.0,0.0902255639097744,1,1,0,1,1,1
41,7030,1955,PhD,Married,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,66465.0,11.104445817701192,1,1,1,59,1485,1,41,553.0,2.6853526220614827,0,0,2,0,0,2
42,1524,1983,Master,Single,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,81698.0,11.310797040871105,0,0,0,31,1104,1,21,582.0,1.8969072164948453,0,2,1,0,0,0
43,3657,1986,Bachelor,Single,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,39146.0,10.575079070130355,1,1,0,28,165,0,19,597.0,0.2763819095477386,1,1,0,1,1,1
44,5740,1970,Master,Divorced,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,25959.0,10.164312170818029,2,1,0,44,56,0,13,597.0,0.0938023450586264,1,1,0,1,1,1
45,9595,1961,Bachelor,Together,0,0,2013-01-11,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,64260.0,11.070708194329034,0,0,1,53,1574,0,17,631.0,2.4944532488114106,0,2,1,0,0,0
46,3158,1973,Bachelor,Married,1,0,2013-01-03,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,32300.0,10.382853468483829,1,1,1,41,39,0,13,639.0,0.0610328638497652,1,1,0,1,1,1
47,5114,1965,Master,Married,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,74806.0,11.222666742471665,1,1,1,49,965,0,20,654.0,1.4755351681957187,0,0,0,1,0,2
48,340,1970,Bachelor,Divorced,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,72967.0,11.197776267859997,1,1,0,44,497,1,24,658.0,0.7553191489361702,0,0,2,0,0,2
49,8805,1960,Bachelor,Single,0,1,2012-12-02,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,48904.0,10.797634919724594,1,1,0,54,371,0,25,671.0,0.5529061102831595,1,0,0,1,0,2
50,1241,1984,Master,Married,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,14796.0,9.602179736502537,1,1,1,30,51,0,15,747.0,0.0682730923694779,1,1,0,1,1,1
51,1402,1954,Master,Married,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,66991.0,11.112328488258925,0,0,1,60,1253,0,24,753.0,1.6640106241699868,0,2,1,0,0,0
52,7264,1978,Master,Single,2,1,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,52195.0,10.862761142582135,3,1,0,36,17,0,12,145.0,0.1172413793103448,1,1,0,1,1,1
53,1619,1956,Bachelor,Married,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,90369.0,11.411667632896002,0,0,1,58,1588,0,18,159.0,9.9874213836478,0,2,1,0,0,0
54,6398,1974,Basic,Married,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,18393.0,9.819779803462644,1,1,1,40,50,0,16,189.0,0.2645502645502645,1,1,0,1,1,1
55,1857,1952,Bachelor,Single,1,1,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,47139.0,10.760877176490125,2,1,0,62,83,0,14,212.0,0.3915094339622642,1,1,0,1,1,1
56,4877,1973,Master,Married,0,1,2014-03-04,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,38576.0,10.560411522938548,1,1,1,41,41,0,12,214.0,0.1915887850467289,1,1,0,1,1,1
57,3066,1975,PhD,Together,0,1,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,61905.0,11.033372384508343,1,1,1,39,231,0,17,242.0,0.9545454545454546,1,0,0,1,1,2
58,10286,1962,Bachelor,Married,0,0,2014-02-03,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,83715.0,11.335185397109868,0,0,1,52,926,0,24,243.0,3.8106995884773673,0,2,1,0,0,0
59,1992,1964,Bachelor,Married,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,60597.0,11.012017168212456,1,1,1,50,893,1,23,276.0,3.2355072463768115,0,0,2,0,0,2
60,4246,1982,Master,Single,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,6560.0,8.788898309344878,0,0,0,32,373,0,19,296.0,1.260135135135135,1,1,0,1,1,1
61,10623,1961,Master,Together,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,48330.0,10.785828455707216,1,1,1,53,32,0,10,323.0,0.0990712074303405,1,1,0,1,1,1
62,4867,1968,PhD,Single,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,38236.0,10.551558912204982,2,1,0,46,88,0,18,379.0,0.2321899736147757,1,1,0,1,1,1
63,3112,1977,Master,Married,1,0,2013-09-05,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,22701.0,10.030208305315284,1,1,1,37,24,0,10,394.0,0.0609137055837563,1,1,0,1,1,1
64,4865,1974,Master,Divorced,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,53367.0,10.88496659438935,2,1,0,40,400,0,28,399.0,1.0025062656641603,0,0,2,0,0,2
65,6287,1986,Bachelor,Together,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,34728.0,10.455330351773332,1,1,1,28,36,0,11,431.0,0.0835266821345707,1,1,0,1,1,1
66,4405,1956,Master,Married,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,63915.0,11.065325000259278,2,1,1,58,789,0,28,431.0,1.8306264501160088,0,0,2,0,0,2
67,5332,1960,Master,Married,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,82504.0,11.320614176546906,0,0,1,54,1066,0,18,434.0,2.456221198156682,0,2,1,0,0,0
68,1519,1972,PhD,Single,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,38578.0,10.560463365957895,2,1,0,42,73,0,17,469.0,0.1556503198294243,1,1,0,1,1,1
69,9080,1972,PhD,Single,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,38578.0,10.560463365957895,2,1,0,42,73,0,17,469.0,0.1556503198294243,1,1,0,1,1,1
70,1772,1975,PhD,Married,0,0,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,79174.0,11.27941587140684,0,0,1,39,2043,2,21,631.0,3.237717908082409,0,2,1,0,0,0
71,5341,1962,Master,Divorced,0,1,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,81975.0,11.314181800479554,1,1,0,52,1588,1,21,637.0,2.4929356357927785,0,0,1,0,0,2
72,5510,1977,Master,Married,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,43263.0,10.675076159402636,1,1,1,37,441,0,21,682.0,0.6466275659824047,0,0,0,1,0,2
73,3887,1970,Bachelor,Single,1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,27242.0,10.212551886357938,1,1,0,44,106,0,16,692.0,0.1531791907514451,1,1,0,1,1,1
74,7022,1971,Bachelor,Married,1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,76445.0,11.244339888209437,1,1,1,43,1410,0,27,736.0,1.9157608695652173,0,2,1,0,0,0
75,9999,1965,Bachelor,Together,0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,75276.0,11.228929922243076,0,0,1,49,1040,0,28,737.0,1.4111261872455902,0,2,1,0,0,0
76,10352,1963,Bachelor,Widow,1,1,2012-09-07,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,34213.0,10.440390196012237,2,1,0,51,117,0,18,757.0,0.154557463672391,1,1,0,1,1,2
77,7919,1976,PhD,Together,0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,72335.0,11.189077209534386,0,0,1,38,2092,0,31,782.0,2.6751918158567776,0,2,1,0,0,2
78,4114,1964,Master,Married,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,79143.0,11.27902425700306,0,0,1,50,1693,0,32,784.0,2.159438775510204,0,2,1,0,0,0
79,7990,1947,Bachelor,Married,0,0,2012-08-02,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,27469.0,10.22084977908932,0,0,1,67,17,0,10,793.0,0.0214375788146279,1,1,0,1,1,1
80,9888,1969,Bachelor,Together,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,68695.0,11.13744625235232,0,0,1,45,1091,0,18,101.0,10.801980198019802,0,2,1,0,0,0
81,4399,1969,Bachelor,Together,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,68695.0,11.13744625235232,0,0,1,45,1091,0,18,101.0,10.801980198019802,0,2,1,0,0,0
82,4452,1957,Bachelor,Single,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER,50388.0,10.827528176270343,1,1,0,57,372,2,24,129.0,2.883720930232558,0,0,0,1,0,2
83,4785,1970,PhD,Together,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,77622.0,11.25961905400853,2,1,1,44,714,0,25,173.0,4.127167630057803,0,0,2,0,0,2
84,8461,1962,Bachelor,Divorced,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,46102.0,10.738633302789305,3,1,0,52,16,0,11,208.0,0.0769230769230769,1,1,0,1,1,1
85,3878,1980,Master,Single,1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,31859.0,10.36910658346404,1,1,0,34,48,0,12,219.0,0.2191780821917808,1,1,0,1,1,1
86,9612,1987,Master,Single,0,0,2014-02-07,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,23830.0,10.078742533123364,0,0,0,27,43,0,12,239.0,0.1799163179916318,1,1,0,1,1,1
87,4098,1973,Bachelor,Married,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,24639.0,10.112126417647456,2,1,1,41,44,0,15,249.0,0.1767068273092369,1,1,0,1,1,1
88,158,1945,PhD,Together,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,71604.0,11.178920182912805,0,0,1,69,1196,1,21,321.0,3.7258566978193146,0,2,1,0,0,0
89,3896,1984,Bachelor,Married,1,0,2013-11-07,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,27255.0,10.213028959340802,1,1,1,30,37,0,12,331.0,0.1117824773413897,1,1,0,1,1,1
90,9970,1977,Bachelor,Together,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,55375.0,10.921901565875125,1,1,1,37,162,0,11,352.0,0.4602272727272727,1,1,1,0,1,2
91,4002,1960,PhD,Married,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,77037.0,11.252054085595049,1,1,1,54,1123,0,30,356.0,3.154494382022472,0,2,2,0,0,2
92,10914,1970,Bachelor,Single,1,1,2013-10-12,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,24163.0,10.092619201258632,2,1,0,44,17,0,10,357.0,0.0476190476190476,1,1,0,1,1,1
93,7279,1969,PhD,Together,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,69476.0,11.14875104152993,0,0,1,45,1044,0,17,369.0,2.8292682926829267,0,2,1,0,0,0
94,10582,1979,Bachelor,Married,0,1,2013-07-03,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,72063.0,11.185309892059308,1,1,1,35,758,0,23,458.0,1.6550218340611351,0,2,1,0,0,2
95,4470,1962,Master,Married,0,1,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,58646.0,10.979291701878228,1,1,1,52,140,0,12,481.0,0.2910602910602911,1,1,0,1,1,2
96,6183,1962,Master,Married,0,1,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,58646.0,10.979291701878228,1,1,1,52,140,0,12,481.0,0.2910602910602911,1,1,0,1,1,2
97,6379,1949,Master,Widow,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,47570.0,10.769978610857676,2,1,0,65,121,0,16,493.0,0.2454361054766734,1,1,0,1,1,2
98,8601,1980,Bachelor,Married,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,80011.0,11.289931902407144,1,1,1,34,1395,0,25,523.0,2.667304015296367,0,2,1,0,0,2
99,4827,1956,PhD,Single,0,1,2013-03-10,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,54998.0,10.915070282231136,1,1,0,58,455,0,24,573.0,0.794066317626527,0,0,0,1,0,2
100,6715,1948,PhD,Single,0,1,2013-01-02,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,60200.0,11.005444242454628,1,1,0,66,685,0,31,640.0,1.0703125,0,0,2,0,0,2
101,10676,1982,Bachelor,Married,0,0,2012-11-02,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,63211.0,11.054249435528996,0,0,1,32,1173,0,22,701.0,1.673323823109843,0,2,1,0,0,0
102,1041,1973,PhD,Single,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,48432.0,10.787936678554123,1,1,0,41,424,0,27,716.0,0.5921787709497207,0,0,0,1,0,2
103,492,1973,PhD,YOLO,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,48432.0,10.787936678554123,1,1,0,41,424,0,27,716.0,0.5921787709497207,0,0,0,1,0,2
104,11133,1973,PhD,YOLO,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND,48432.0,10.787936678554123,1,1,0,41,424,0,27,716.0,0.5921787709497207,0,0,0,1,0,2
105,4491,1949,Master,Married,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,62845.0,11.04844256839719,2,1,1,65,1178,1,36,733.0,1.6070941336971352,0,0,2,0,0,2
106,873,1949,Master,Married,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,62845.0,11.04844256839719,2,1,1,65,1178,1,36,733.0,1.6070941336971352,0,0,2,0,0,2
107,1631,1965,PhD,Together,0,0,2012-09-03,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,65220.0,11.08553678194579,0,0,1,49,1282,0,29,761.0,1.6846254927726676,0,0,2,0,0,2
108,8278,1990,PhD,Married,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,74214.0,11.214721565058865,0,0,1,24,1711,0,21,769.0,2.224967490247074,0,2,1,0,0,0
109,6815,1980,Master,Married,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,96547.0,11.47779557298649,0,0,1,34,809,3,23,134.0,6.037313432835821,0,2,1,0,0,0
110,254,1955,Bachelor,Together,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,53863.0,10.894217630225118,1,1,1,59,473,1,25,140.0,3.378571428571429,0,0,0,1,0,2
111,1349,1970,Bachelor,Married,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,50447.0,10.82869838178484,2,1,1,44,148,0,14,166.0,0.891566265060241,1,1,0,1,1,1
